Cut the Rope Free,com.zeptolab.ctr.ads,free.webp,the original one! (don't download the newer versions..),10,ic-onesignal-large-icon-default-1.png,ic-onesignal-large-icon-default.png,icon-105.png,icon-125.png,icon-14.png,icon-41.png,icon-46.png,icon-52.png,icon-63.png,icon-69.png,icon-75.png,icon-background-13.png,icon-background-14.png,icon-background-41.png,icon-background-45.png,icon-background-46.png,icon-background-51.png,icon-background-52.png,icon-foreground-13.png,icon-foreground-14.png,icon-foreground-41.png,icon-foreground-45.png,icon-foreground-46.png,icon-foreground-51.png,icon-foreground-52.png
,,,"https://cdn.candies.monster/apks/com.zeptolab.ctr.ads/com.zeptolab.ctr.ads_3.64.0-2350526_minAPI21(arm64-v8a,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk",,"arm64, arm32, x86, x86_64",93.23MB
,v3.63.0,idk.webp,https://www.apkmirror.com/apk/zeptolab/cut-the-rope/cut-the-rope-3-63-0-release/,,,
,,,https://cdn.candies.monster/apks/com.zeptolab.ctr.ads/com.zeptolab.ctr.ads_3.63.0-2149866_minAPI19(arm64-v8a)(nodpi)_apkmirror.com.apk,,arm64,72.37MB
,,,https://cdn.candies.monster/apks/com.zeptolab.ctr.ads/com.zeptolab.ctr.ads_3.63.0-2149866_minAPI19(arm64-v8a)(nodpi)_apkmirror.com.apk,,arm64,72.37MB
,,,https://cdn.candies.monster/apks/com.zeptolab.ctr.ads/com.zeptolab.ctr.ads_3.63.0-2149866_minAPI19(armeabi-v7a)(nodpi)_apkmirror.com.apk,,arm32,71.49MB
,,,https://cdn.candies.monster/apks/com.zeptolab.ctr.ads/com.zeptolab.ctr.ads_3.63.0-2149866_minAPI19(x86)(nodpi)_apkmirror.com.apk,,x86,72.75MB
,,,https://cdn.candies.monster/apks/com.zeptolab.ctr.ads/com.zeptolab.ctr.ads_3.63.0-2149866_minAPI19(x86_64)(nodpi)_apkmirror.com.apk,,x86_64,72.69MB
,,,https://apkpure.com/cut-the-rope/com.zeptolab.ctr.ads/download/3.63.0,,,
,,,https://downzen.com/en/android/cut-the-rope-full-free/download/3630/,,,
,,,http://cut-the-rope-full-free.apk.watch/3.63.0/2149866,,,
,,,https://cdn.candies.monster/apks/com.zeptolab.ctr.ads/com.zeptolab.ctr.ads_3.63.0-2149866_minAPI19(arm64-v8a)(nodpi)_apkmirror.com.apk,,arm32,71.49MB
,v3.62.0,fabric.webp,https://www.apkmirror.com/apk/zeptolab/cut-the-rope/cut-the-rope-3-62-0-release/,,,
,,,https://apkpure.com/cut-the-rope/com.zeptolab.ctr.ads/download/3.62.0,,,
,,,https://downzen.com/en/android/cut-the-rope-full-free/download/3620/,,,
,,,http://cut-the-rope-full-free.apk.watch/3.62.0/2149617,,,
,,,https://cdn.candies.monster/apks/com.zeptolab.ctr.ads/com.zeptolab.ctr.ads_3.62.0-2149617_minAPI19(arm64-v8a)(nodpi)_apkmirror.com.apk,,arm64,71.36MB
,,,https://cdn.candies.monster/apks/com.zeptolab.ctr.ads/com.zeptolab.ctr.ads_3.62.0-2149617_minAPI19(arm64-v8a)(nodpi)_apkmirror.com.apk,,arm64,71.36MB
,,,https://cdn.candies.monster/apks/com.zeptolab.ctr.ads/com.zeptolab.ctr.ads_3.62.0-2149617_minAPI19(armeabi-v7a)(nodpi)_apkmirror.com.apk,,arm32,70.66MB
,,,https://cdn.candies.monster/apks/com.zeptolab.ctr.ads/com.zeptolab.ctr.ads_3.62.0-2149617_minAPI19(x86)(nodpi)_apkmirror.com.apk,,x86,71.91MB
,,,https://cdn.candies.monster/apks/com.zeptolab.ctr.ads/com.zeptolab.ctr.ads_3.62.0-2149617_minAPI19(x86_64)(nodpi)_apkmirror.com.apk,,x86_64,71.85MB
,v3.61.0,fabric.webp,https://www.apkmirror.com/apk/zeptolab/cut-the-rope/cut-the-rope-3-61-0-release/,,,
,,,https://apkpure.com/cut-the-rope/com.zeptolab.ctr.ads/download/3.61.0,,,
,,,https://downzen.com/en/android/cut-the-rope-full-free/download/3610/,,,
,,,http://cut-the-rope-full-free.apk.watch/3.61.0,,,
,,,https://cdn.candies.monster/apks/com.zeptolab.ctr.ads/com.zeptolab.ctr.ads_3.61.0-2149348_minAPI19(arm64-v8a)(nodpi)_apkmirror.com.apk,,arm64,71.52MB
,,,https://cdn.candies.monster/apks/com.zeptolab.ctr.ads/com.zeptolab.ctr.ads_3.61.0-2149348_minAPI19(arm64-v8a)(nodpi)_apkmirror.com.apk,,arm64,71.52MB
,,,https://cdn.candies.monster/apks/com.zeptolab.ctr.ads/com.zeptolab.ctr.ads_3.61.0-2149348_minAPI19(armeabi-v7a)(nodpi)_apkmirror.com.apk,,arm32,70.65MB
,,,https://cdn.candies.monster/apks/com.zeptolab.ctr.ads/com.zeptolab.ctr.ads_3.61.0-2149348_minAPI19(x86)(nodpi)_apkmirror.com.apk,,x86,71.90MB
,,,https://cdn.candies.monster/apks/com.zeptolab.ctr.ads/com.zeptolab.ctr.ads_3.61.0-2149348_minAPI19(x86_64)(nodpi)_apkmirror.com.apk,,x86_64,71.84MB
,v3.60.1,fabric.webp,https://www.apkmirror.com/apk/zeptolab/cut-the-rope/cut-the-rope-3-60-1-release/,,,
,,,https://apkpure.com/cut-the-rope/com.zeptolab.ctr.ads/download/3.60.1,,,
,,,https://downzen.com/en/android/cut-the-rope-full-free/download/3601/,,,
,,,http://cut-the-rope-full-free.apk.watch/3.60.1/2149175,,,
,,,https://cdn.candies.monster/apks/com.zeptolab.ctr.ads/com.zeptolab.ctr.ads_3.60.1-2149175_minAPI19(arm64-v8a)(nodpi)_apkmirror.com.apk,,arm64,71.77MB
,,,https://cdn.candies.monster/apks/com.zeptolab.ctr.ads/com.zeptolab.ctr.ads_3.60.1-2149175_minAPI19(arm64-v8a)(nodpi)_apkmirror.com.apk,,arm64,71.77MB
,,,https://cdn.candies.monster/apks/com.zeptolab.ctr.ads/com.zeptolab.ctr.ads_3.60.1-2149175_minAPI19(armeabi-v7a)(nodpi)_apkmirror.com.apk,,arm32,70.69MB
,,,https://cdn.candies.monster/apks/com.zeptolab.ctr.ads/com.zeptolab.ctr.ads_3.60.1-2149175_minAPI19(x86)(nodpi)_apkmirror.com.apk,,x86,71.93MB
,,,https://cdn.candies.monster/apks/com.zeptolab.ctr.ads/com.zeptolab.ctr.ads_3.60.1-2149175_minAPI19(x86_64)(nodpi)_apkmirror.com.apk,,x86_64,71.87MB
